Issue key,Summary,Description,Σ Time Spent
RA-167,Integrate Flyway for DB version handling,"Add and integrate Flyway dependency.

Create DB baseline script and replace the hibernate DDL with it.",54900
RA-166,Sticky header on plan timeline,,18000
RA-165,Calculate the best 3 match,,117900
RA-164,Input fields for searching competences,,86400
RA-163,New menu and page,,9000
RA-162,Tooltip for counters,,1800
RA-161,BE algorithm for counting average,,11700
RA-160,Competence component refactor,,16200
RA-159,"Adjust ""looking for ..."" pages",,
RA-158,Redesign profil form,,21600
RA-157,Add input field in competence component,,
RA-156,Adjust CRUD,,25200
RA-155,Change DB for the scale,,16200
RA-154,Deploy and devops,,18000
RA-153,Quick search with more competencies,,241200
RA-152,Show the average of the top 3 competencies in list,,41400
RA-151,Competencies in a 1-10 scale,"*Menu - Employee and Looking for project*

!Screenshot 2023-10-26 at 13.08.42-20231026-110847.png|width=1154,height=702!

The user can enter the level of the selected competence in the right competence component, right beside the competence.

The user can see in the list view only one column with competence.



*Menu - Project and Looking for employee*

Remains the same display: 1 column for the competencies.",240300
RA-150,Mark the row in case of clicked on it,,14400
RA-149,Meetings & PO tasks,,43200
RA-148,Competencies in 1-10 scale and komplex competence search,,292500
RA-147,Remove minimal overlapping of timeline items,Change timeline style/remove overlapping of plans to be able to remove stacking,5400
RA-146,Change plan percentage to number input and range,"Add a number input to plan creation/modification, change the range values for easier percentage change ",9000
RA-145,Datepickers don't change back to labels when out of focus,,3600
RA-144,Infinitive loop in plan component,,111600
RA-143,Small design changes,"* dates should be aligned to the center
* column “fte” should be aligned to the center and can be more narrow
* change “alkalmazottak” to “tagok” (“employees” to “member”)
* count in column “members”: it should count all the members with plan from the current day to the future (not just the members on the current day)
* in case of add new project, the count in column members should be 0 as well (as in competence)",12600
RA-142,Small design changes,"* Column “planned” can be more narrow
* Column “position” can be wider",13500
RA-141,Small design changes,* Column “free from”: display dates without background,4500
RA-140,Small design changes,"* Column project state and competence can be more narrow (the size of the column header text)
* Column member can be wider (rest of the space)
* Table should fill up the space instead of scrolling
* Search should be possible by the members with a plan in the future as well (instead of the members on just the current day)",12600
RA-139,Optimise the API requests,,25200
RA-138,Summary API,,88200
RA-137,Extend Looking For Resource search with searching by project members,,7200
RA-136,Extend GetAllLookinfForResources API with member list,,3600
RA-135,Add project's employee list to a looking for resource according to plan,,28800
RA-134,Extend project search with searching by member,,18000
RA-133,Import employees from HR Master (first load),,182700
RA-132,Non functional reqs,,237600
RA-131,Extend GetAllProjectsByCompanyid with member list,,7200
RA-130,Filter employees according to status,,
RA-129,Filter projects according to status,,
RA-128,Extend Project DTO with project status,,
RA-127,Add employee list to a project according to plan,,47700
RA-126,Add Project status to project data,,19800
RA-125,Change style of login page with added microsoft login button,,5400
RA-124,Selected project is not cleared when closing the sidebar,,4500
RA-123,Change favicon.ico and head title of application,,3600
RA-122,"Sorting does not work in employee table, table does not refresh on update",,
RA-121,Backend doesn't prevent the user from saving 2 or more active entities,"Backend doesn’t prevent the user from saving an IN_PROGRESS or WAITING Looking for Resource entity, when there already is one WAITING or IN_PROGRESS entity. ",3600
RA-120,Insert logo and image,"* insert logo in the login page

!Screenshot 2023-09-29 at 13.09.04-20230929-110910.png|width=602,height=389!
* insert image in home pages in case there’s no element in the table (empty state)

!Screenshot 2023-09-29 at 13.09.15-20230929-110921.png|width=602,height=383!",23400
RA-119,SearchPlan API,,63000
RA-118,Add comment field to employee dto,,2700
RA-117,DeletePlan API,,3600
RA-116,CreatePlan API,,11700
RA-115,UpdatePlan API,,11700
RA-114,Design changes,"* sidebar can be half wide as it is now
* the sidebar icons (except the user icon) can be much smaller (e.g. tempo icons)",11700
RA-113,Employee and project competencies shown at the same time in home component,,
RA-112,App colours,"In the app we use the official Gloster colours:

Orange: #E95A1A
Dark blue: #212852
Light grey: #E6E6E6 (opacity 30%)

!Screenshot 2023-09-26 at 16.09.45-20230926-140952.png|width=1066,height=633!",9900
RA-111,GetAllPlansByCompany API,,21600
RA-110,Search includes whitespace characters,,2700
RA-109,Refactor employee search to use RxJS,,5400
RA-108,Pagination stopped working after refactor in search,,2700
RA-107,Backend skeleton for 'Plan',,35100
RA-106,Modal throws error when dismissed,"When subscribing to a modal, there are no reject functions provided for the then() function, only resolves. This results in an error being thrown.

*Solution*: instead of dismissing, close the modal with  a ‘false’ parameter or provide a reject function (first suggestion is more suitable here)",1800
RA-105,GetAllProjects API,,7200
RA-104,AddLookingForResource API,,17100
RA-103,SearchLookingForResource API,,10800
RA-102,Devops tasks,,486000
RA-101,Update LookingForResource API,,28800
RA-100,GetAllEmployees API,,7200
RA-99,Refactor Employee's getAllEmployees() method to getAllEmployeesByCompany(),,2700
RA-98,getAllLookingForResources API,,
RA-97,Employee search is case sensitive,"!image-20230919-122405.png|width=1385,height=490!

!image-20230919-122429.png|width=1091,height=502!

The search is case-sensitive. If we want to look up a competency that has uppercase letters and we use lowercase letters in the search bar, the competency will not be circled.

*Solution*:

Add lowerCase() function to both strings before comparing them in the isSearchResult() method of tr-employee.component.ts",900
RA-96,AddLookingForProject API,,43200
RA-95,GetAllLookingForResources API,,24300
RA-94,Backend skeleton for 'Looking for Resource',,37800
RA-93,ModifyLookingForProject API,,33300
RA-92,SearchLookingForProject API,,27900
RA-91,GetAllUsers API,,3600
RA-90,GetAllLookingForProjects API,,25200
RA-89,Backend skeleton for 'Looking for Project',,24300
RA-88,Tab display for 'Looking for...' components,,5400
RA-87,Add and delete competency API,,36900
RA-86,Add and delete competency to project,,45900
RA-85,Add and delete employee competency API,,24300
